HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
1994,True,null,null,null,null,null,null,null
2004,True,25-34,Single,150K+,Homeowner,1 Adult and Kids,2,1
2011,True,35-44,Single,UNDER 35K,null,1 Adult and Kids,2,1
2017,True,45-54,Single,50-74K,Renter,1 Adult,1,null
2019,False,35-44,Single,150K+,Homeowner,Single Male,1,null
2022,True,35-44,Single,150K+,Homeowner,Single Male,1,null
2024,True,null,null,null,null,null,null,null
2027,True,null,null,null,null,null,null,null
2066,True,25-34,Single,50-74K,null,Single Female,1,null
2077,True,35-44,Single,75-99K,Homeowner,Single Male,1,null
2102,True,45-54,Married,150K+,Homeowner,2 Adults and Kids,3,1
2143,True,45-54,Single,100-150K,Homeowner,1 Adult and Kids,4,3+
2148,True,35-44,Single,35-49K,Homeowner,1 Adult and Kids,2,1
2150,True,55-64,Married,35-49K,Homeowner,2 Adults,2,null
2175,True,45-54,Single,50-74K,Homeowner,1 Adult and Kids,4,3+
2178,True,25-34,Single,UNDER 35K,Homeowner,Single Female,1,null
2189,False,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
2200,True,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
2211,False,45-54,Single,50-74K,Homeowner,Single Female,1,null
2225,False,35-44,Single,35-49K,Homeowner,1 Adult and Kids,null,null
2232,False,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
2244,True,null,Single,35-49K,Renter,Single Female,1,null
2260,True,null,null,null,null,null,null,null
2264,True,null,null,null,null,null,null,null
2291,True,null,null,null,null,null,null,null
2306,True,75+,Married,50-74K,Homeowner,2 Adults,2,null
2319,False,75+,Married,50-74K,Homeowner,2 Adults,2,null
2320,False,55-64,Married,75-99K,Homeowner,2 Adults,2,null
2322,True,null,null,null,null,null,null,null
2325,False,null,null,null,null,null,null,null
2337,False,35-44,Married,35-49K,Homeowner,2 Adults and Kids,3,1
2345,True,55-64,Married,35-49K,Renter,2 Adults and Kids,3,1
2371,True,55-64,Married,150K+,Homeowner,2 Adults and Kids,3,1
2375,False,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
2379,False,75+,Married,35-49K,Homeowner,2 Adults,2,null
2391,False,55-64,Married,75-99K,Renter,2 Adults and Kids,5+,3+
2406,False,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
2420,True,55-64,Married,75-99K,Homeowner,2 Adults,2,null
2429,True,55-64,Married,150K+,Homeowner,2 Adults and Kids,3,1
